experiment_id,dataset,split,metric,value,unit
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,lengths,13.59,m
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,nav_error,2.72,m
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,oracle_error,1.4,m
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,sr,76.29,%
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,oracle_sr,84.8,%
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,spl,66.24,%
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,nDTW,71.32,%
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,SDTW,63.74,%
0002_same_val_r2r_eval_only_same_s0_v2,R2R,val_unseen,CLS,70.42,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,action_steps,5.44,
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,steps,5.76,
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,lengths,11.18,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,nav_error,1.28,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,oracle_error,0.62,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,sr,88.74,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,oracle_sr,94.34,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,spl,85.01,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,nDTW,88.18,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,SDTW,83.85,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_train_seen,CLS,87.06,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,action_steps,6.12,
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,steps,7.06,
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,lengths,13.59,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,nav_error,2.72,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,oracle_error,1.4,m
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,sr,76.29,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,oracle_sr,84.8,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,spl,66.24,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,nDTW,71.32,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,SDTW,63.74,%
0003_same_val_r2r_eval_only_same_s0_v3,R2R,val_unseen,CLS,70.42,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,action_steps,5.44,
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,steps,5.76,
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,lengths,11.18,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,nav_error,1.28,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,oracle_error,0.62,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,sr,88.74,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,oracle_sr,94.34,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,spl,85.01,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,nDTW,88.18,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,SDTW,83.85,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_train_seen,CLS,87.06,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,action_steps,6.12,
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,steps,7.06,
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,lengths,13.59,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,nav_error,2.72,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,oracle_error,1.4,m
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,sr,76.29,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,oracle_sr,84.8,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,spl,66.24,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,nDTW,71.32,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,SDTW,63.74,%
0004_same_val_r2r_eval_only_same_s0_v4,R2R,val_unseen,CLS,70.42,%
